"Périmètre","Municipalité","MRC","Score %","Nb immeubles","Nb logements","Alimentation %","Service de garde %","École primaire %","École secondaire %","Espaces naturels %","Loisirs et sport %","Équipements culturels %","Pharmacie %","Soins de santé 1re ligne %","Transport en commun %","Mobilité partagée %","Réseau cyclable %","Nb lacunes"
"#77","Saint-Sauveur","Les Pays-d'en-Haut","23","3497","4362","75","9","31","0","29","24","39","15","23","33","0","1","11"
"#78","Piedmont","Les Pays-d'en-Haut","22","1729","1926","47","0","0","0","15","32","55","4","9","69","0","30","12"
"#79","Piedmont","Les Pays-d'en-Haut","17","4","4","0","0","0","0","0","100","0","0","0","100","0","0","10"
"#80","Sainte-Adèle","Les Pays-d'en-Haut","74","2294","3445","90","56","91","98","80","93","87","53","78","90","34","39","4"
"#81","Sainte-Adèle","Les Pays-d'en-Haut","65","590","796","77","52","92","100","54","51","60","0","63","78","100","48","7"
"#82","Boisbriand","Thérèse-De Blainville","0","6","8","0","0","0","0","0","0","0","0","0","0","0","0","12"
"#83","Labelle","Les Laurentides","50","577","840","100","0","89","0","79","21","93","69","92","0","0","56","7"
"#84","Sainte-Agathe-des-Monts","Les Laurentides","59","2976","4933","97","43","83","0","77","40","76","66","74","67","0","87","6"
"#85","Blainville","Thérèse-De Blainville","48","19212","23361","67","18","62","60","68","48","0","19","52","97","0","90","10"
"#86","Sainte-Anne-des-Plaines","Thérèse-De Blainville","44","3884","5251","82","0","72","85","73","0","42","16","15","99","0","47","7"
"#87","Oka","Deux-Montagnes","21","147","158","100","0","0","94","0","0","0","0","0","0","0","60","10"
"#88","Saint-Eustache","Deux-Montagnes","57","14290","19044","90","19","80","47","64","31","32","16","60","100","56","91","8"
"#89","Oka","Deux-Montagnes","37","837","988","85","35","0","0","57","0","52","24","60","51","0","75","10"
"#90","Pointe-Calumet","Deux-Montagnes","26","2387","2717","42","16","68","0","53","0","0","0","0","100","0","31","11"
"#91","Saint-Eustache","Deux-Montagnes","31","94","94","100","0","99","0","0","0","0","0","0","100","0","71","8"
"#92","Saint-Colomban","La Rivière-du-Nord","43","161","229","100","0","100","0","76","0","100","50","93","0","0","0","7"
"#93","Sainte-Sophie","La Rivière-du-Nord","30","491","786","84","0","77","0","81","0","100","14","0","0","0","0","8"
